p,k,Hash names&seed,Input Size,Encoder Size,Decoder Size,Compression Ratio
0.25243147960163514,1,SDBHash(433) ,291592,294352,291592,1.0094652802546022
0.25243147960163514,1,SimpleHash(126) ,291592,253812,291592,0.8704354028917117
0.25243147960163514,1,APHash(176) ,291592,279334,291592,0.9579618096518423
0.25243147960163514,1,PJWHash(112) ,291592,329553,291592,1.1301853274438256
0.25243147960163514,1,BKDRHash(43) ,291592,373001,291592,1.2791880435677248
0.25243147960163514,1,DJBHash(212) ,291592,372838,291592,1.2786290433208045
0.25243147960163514,1,PJWHash(187) ,291592,329940,291592,1.1315125243490904
0.25243147960163514,1,JSHash(59) ,291592,367371,291592,1.2598802436280832
0.25243147960163514,1,DJBHash(9) ,291592,372838,291592,1.2786290433208045
0.25243147960163514,1,ELFHash(237) ,291592,330331,291592,1.132853439051826
0.25243147960163514,1,RSHash(379) ,291592,285701,291592,0.9797971137754122
0.25243147960163514,1,RSHash(307) ,291592,264459,291592,0.9069487503086504
0.25243147960163514,1,APHash(497) ,291592,277038,291592,0.9500877939038108
0.25243147960163514,1,SimpleHash(188) ,291592,276015,291592,0.9465794672007463
0.25243147960163514,1,DJBHash(129) ,291592,372838,291592,1.2786290433208045
0.25243147960163514,1,DJBHash(1) ,291592,372838,291592,1.2786290433208045
0.25243147960163514,1,RSHash(227) ,291592,264712,291592,0.9078164009986557
0.25243147960163514,1,JSHash(40) ,291592,367279,291592,1.259564734286263
0.25243147960163514,1,ELFHash(441) ,291592,329553,291592,1.1301853274438256
0.25243147960163514,1,RSHash(20) ,291592,261828,291592,0.8979258690224697
0.25243147960163514,1,JSHash(67) ,291592,363486,291592,1.24655683283492
0.25243147960163514,1,SDBHash(225) ,291592,294352,291592,1.0094652802546022
0.25243147960163514,1,ELFHash(292) ,291592,328735,291592,1.127380037861121
0.25243147960163514,1,APHash(142) ,291592,278682,291592,0.9557258086641609
0.25243147960163514,1,DJBHash(55) ,291592,372838,291592,1.2786290433208045
0.25243147960163514,1,APHash(287) ,291592,280171,291592,0.9608322587725315
0.25243147960163514,1,SimpleHash(336) ,291592,284461,291592,0.9755445965595764
0.25243147960163514,1,SDBHash(201) ,291592,294352,291592,1.0094652802546022
0.25243147960163514,1,PJWHash(220) ,291592,328905,291592,1.1279630442536146
0.25243147960163514,1,JSHash(108) ,291592,364623,291592,1.250456116765892
0.25243147960163514,1,PJWHash(287) ,291592,330019,291592,1.1317834508491316
0.25243147960163514,1,RSHash(289) ,291592,281475,291592,0.9653042607478943
0.25243147960163514,1,ELFHash(486) ,291592,329940,291592,1.1315125243490904
0.25243147960163514,1,SimpleHash(158) ,291592,276923,291592,0.9496934072265357
0.25243147960163514,1,DJBHash(318) ,291592,372838,291592,1.2786290433208045
0.25243147960163514,1,RSHash(357) ,291592,349584,291592,1.1988806277264124
0.25243147960163514,1,JSHash(189) ,291592,368447,291592,1.263570331147631
0.25243147960163514,1,APHash(106) ,291592,282041,291592,0.9672453290899613
0.25243147960163514,1,BKDRHash(305) ,291592,280486,291592,0.9619125353233284
0.25243147960163514,1,JSHash(256) ,291592,366555,291592,1.2570818129441137
0.25243147960163514,1,RSHash(423) ,291592,276970,291592,0.9498545913468134
0.25243147960163514,1,JSHash(409) ,291592,366975,291592,1.2585221816785097
0.25243147960163514,1,SimpleHash(4) ,291592,313872,291592,1.0764081319103405
0.25243147960163514,1,DJBHash(233) ,291592,372838,291592,1.2786290433208045
0.25243147960163514,1,APHash(181) ,291592,279076,291592,0.957077011714999
0.25243147960163514,1,BKDRHash(152) ,291592,238712,291592,0.8186507174408078
0.25243147960163514,1,PJWHash(472) ,291592,330485,291592,1.1333815742544378
0.25243147960163514,1,SimpleHash(156) ,291592,259149,291592,0.8887383741666438
